epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,4845.12,0.68179,3.26598,0.2956,0.43262,1.10525,0.9693,0.97695,0.99074,0.89149,0.85635,0.80802,0.82295,0.67185,0.56618,2.08576,0.05708,0.28916,0.99133,0.004852,0.004852,0.004852
28,5023.99,0.67614,3.1751,0.28933,0.4264,1.10294,0.96833,0.97904,0.99093,0.8935,0.8527,0.81259,0.82605,0.66898,0.56081,2.04395,0.05734,0.28559,0.98575,0.004654,0.004654,0.004654
29,5202.86,0.6737,3.17546,0.28839,0.4268,1.09989,0.97057,0.97631,0.99091,0.89373,0.86657,0.80767,0.83011,0.67672,0.56136,2.01287,0.05685,0.2859,0.98865,0.004456,0.004456,0.004456
30,5381.41,0.67272,3.15372,0.28664,0.42256,1.09995,0.97166,0.97472,0.99099,0.89447,0.85411,0.81609,0.82603,0.67777,0.55558,2.014,0.05547,0.28228,0.98343,0.004258,0.004258,0.004258
31,5560.25,0.66274,3.07693,0.28359,0.41375,1.09716,0.97342,0.97573,0.991,0.89677,0.86929,0.81416,0.8384,0.68705,0.55395,1.98498,0.05426,0.27902,0.98226,0.00406,0.00406,0.00406
32,5738.93,0.66174,3.05806,0.28109,0.41622,1.0937,0.97037,0.97728,0.99099,0.89832,0.85892,0.82057,0.83542,0.68808,0.54684,1.98111,0.05366,0.2807,0.97909,0.003862,0.003862,0.003862
33,5916.63,0.65649,2.9961,0.27973,0.41197,1.09358,0.96822,0.97935,0.99075,0.89922,0.85977,0.82185,0.83842,0.69371,0.54312,1.96449,0.05413,0.27707,0.9736,0.003664,0.003664,0.003664
34,6095.76,0.65417,3.00049,0.27802,0.40919,1.09155,0.96801,0.97861,0.99088,0.90012,0.86938,0.82544,0.84912,0.69845,0.5464,1.94071,0.05346,0.28034,0.97714,0.003466,0.003466,0.003466
35,6274.11,0.64715,2.90067,0.27282,0.40491,1.0906,0.97419,0.97618,0.99113,0.90067,0.86553,0.82599,0.84553,0.70118,0.54619,1.93593,0.05139,0.2742,0.97758,0.003268,0.003268,0.003268
36,6452.13,0.64389,2.89494,0.27271,0.40005,1.08532,0.97171,0.97912,0.99126,0.90276,0.86424,0.83077,0.85195,0.71086,0.54176,1.91027,0.05112,0.27048,0.97407,0.00307,0.00307,0.00307
37,6630.13,0.63251,2.84705,0.26796,0.39353,1.07915,0.97302,0.97928,0.99136,0.90342,0.85947,0.83543,0.85325,0.71231,0.53895,1.90629,0.04907,0.26709,0.97146,0.002872,0.002872,0.002872
38,6808.03,0.63223,2.82518,0.26675,0.38868,1.07739,0.97397,0.97756,0.99136,0.90458,0.86458,0.83324,0.85598,0.71584,0.53562,1.89109,0.04894,0.26631,0.96843,0.002674,0.002674,0.002674
39,6986.21,0.62631,2.78238,0.26525,0.38848,1.07693,0.97399,0.9784,0.99165,0.90391,0.86266,0.84068,0.85594,0.71451,0.53407,1.8728,0.04891,0.26486,0.9663,0.002476,0.002476,0.002476
40,7163.76,0.6222,2.72475,0.26224,0.38416,1.07264,0.97374,0.97846,0.99165,0.90498,0.86633,0.83835,0.85578,0.71636,0.53093,1.85227,0.04858,0.26244,0.96463,0.002278,0.002278,0.002278
41,7341.27,0.52019,2.09502,0.08739,0.28602,1.01975,0.97211,0.98066,0.99173,0.90619,0.87377,0.84375,0.86264,0.72313,0.52481,1.80825,0.04305,0.25891,0.95912,0.00208,0.00208,0.00208
42,7517.44,0.5063,2.00433,0.08343,0.27898,1.00793,0.97138,0.98238,0.99175,0.90758,0.87721,0.84729,0.86635,0.72789,0.51943,1.76516,0.0391,0.25551,0.95449,0.001882,0.001882,0.001882
43,7694.16,0.49948,1.96235,0.08315,0.27293,1.00566,0.97342,0.9803,0.99185,0.91029,0.8805,0.84606,0.86848,0.73318,0.51454,1.74837,0.03674,0.25343,0.95014,0.001684,0.001684,0.001684
44,7868.99,0.48965,1.90321,0.0797,0.27023,0.9999,0.97609,0.97861,0.99193,0.91119,0.88294,0.85011,0.87083,0.73524,0.51122,1.72363,0.03523,0.25114,0.94652,0.001486,0.001486,0.001486
45,8045.19,0.48243,1.86234,0.08064,0.26152,0.99445,0.97513,0.97989,0.99201,0.91174,0.88612,0.85105,0.87426,0.73893,0.50941,1.70356,0.03403,0.25033,0.94359,0.001288,0.001288,0.001288
46,8220.39,0.47633,1.80584,0.07789,0.25742,0.99312,0.97588,0.97923,0.99201,0.91237,0.88949,0.85459,0.87797,0.74198,0.50631,1.68654,0.03311,0.24885,0.94102,0.00109,0.00109,0.00109
47,8397.19,0.46807,1.7819,0.07612,0.25057,0.98487,0.9755,0.979,0.99179,0.91284,0.89199,0.85775,0.87985,0.74495,0.50484,1.6673,0.03243,0.24764,0.93935,0.000892,0.000892,0.000892
48,8572.56,0.46204,1.7358,0.07706,0.24709,0.98186,0.97634,0.9781,0.99183,0.91329,0.89108,0.85912,0.88079,0.74644,0.50321,1.65536,0.03184,0.24629,0.93766,0.000694,0.000694,0.000694
49,8748.66,0.45432,1.69447,0.07423,0.24162,0.97902,0.97719,0.979,0.99215,0.91361,0.89174,0.86014,0.88138,0.7474,0.50193,1.64675,0.03128,0.24516,0.93656,0.000496,0.000496,0.000496
50,8924.27,0.44661,1.66337,0.07337,0.23776,0.97179,0.97712,0.97926,0.99217,0.91375,0.89233,0.86104,0.88147,0.74801,0.50101,1.64063,0.03085,0.24426,0.93549,0.000298,0.000298,0.000298
